X,Y,Z,RX,RY,RZ
330.393,158.185,182.843,14.8230,-47.3054,5.0342
324.787,158.877,182.880,17.0351,-46.5935,3.3807
313.226,161.644,182.428,14.4648,-41.4239,-6.3969
302.654,165.496,181.646,17.8753,-42.2382,-5.0571
296.062,167.714,181.161,18.9703,-42.0854,-5.3131
278.866,172.236,186.564,9.4374,-36.0188,-14.0628
273.179,175.182,183.290,16.3715,-34.6399,-15.7561
257.349,188.702,182.198,21.7796,22.2016,-61.7735
247.681,225.467,179.761,62.2455,54.7281,43.6479
238.489,418.645,182.089,36.9206,54.3699,54.3966
235.286,409.565,191.340,30.1382,53.1767,64.1944
246.759,571.178,196.638,0.0098,-54.3375,54.8010
258.868,181.996,196.132,17.3340,-8.7165,-38.7763
273.229,174.211,192.321,8.3273,-30.7904,-20.0795
278.832,171.452,192.784,6.7196,-35.4521,-14.7693
289.877,168.240,187.262,10.3458,-36.6951,-13.1993
301.766,164.327,188.194,10.5555,-37.5850,-12.0265
307.526,161.632,194.999,6.3033,-36.3636,-13.6254
318.997,159.114,189.179,9.0337,-41.4460,-6.3613
324.823,158.447,189.157,7.1413,-43.0069,-3.7347
338.277,156.150,193.996,14.5656,-47.4581,5.4024
352.827,155.289,195.502,21.3605,-50.9246,15.5583
359.705,156.910,187.681,21.5964,-51.1018,16.2092
371.703,155.592,194.320,20.4093,-51.5856,18.0860
377.569,155.446,194.126,20.1519,-51.6089,18.1803
388.261,155.648,193.798,18.8006,-50.0340,12.5343
395.038,155.739,192.857,19.9213,-50.1312,12.8466
412.171,364.691,190.838,-4.2924,28.7829,-67.8588
422.339,345.194,190.369,-8.3126,15.1004,-55.9994
432.197,322.410,186.909,-10.0000,21.0309,-60.7756
441.102,286.374,192.095,-10.0000,25.4368,-64.6526
448.085,250.671,191.086,-10.0000,27.7905,-66.8801
458.513,211.393,191.097,-10.0000,28.4791,-67.5565
466.956,174.751,190.333,-0.8997,9.7598,-51.9861
483.418,156.379,189.464,12.6899,-49.7076,11.5134
489.759,170.507,196.765,29.9522,-52.7488,23.4117
501.100,155.920,195.050,12.8796,-48.6947,8.5844
508.119,169.685,196.452,22.4718,-50.3357,13.5169
514.083,171.548,191.769,18.4937,-51.7278,18.6691
525.866,172.364,188.684,9.8063,-53.1862,25.8623
537.776,173.264,194.067,28.0095,-54.2941,34.6816
549.882,177.883,192.066,79.9090,-48.4812,81.9929
560.190,160.167,191.237,-2.2394,-46.6320,3.4677
566.081,160.351,190.933,-0.8169,-45.4478,0.9099
578.227,160.614,190.332,0.6711,-46.6465,3.5005
591.096,178.358,193.134,18.6281,-52.6880,23.0953
597.002,179.287,189.669,-5.3885,-44.4319,-1.1144
608.778,178.617,189.469,4.4154,-50.5242,14.1517
620.384,177.665,189.233,2.6157,-51.0806,16.1302
632.465,181.950,187.343,-10.0000,-35.7998,-14.3376
636.382,166.528,196.267,21.9988,43.1285,-3.5200
650.239,182.686,192.987,40.1829,46.3354,2.8048
660.937,170.057,190.037,-10.0000,-39.6786,-9.0836
666.477,171.536,192.399,-10.0000,-37.7351,-11.8244
677.263,188.958,189.384,4.8190,51.0013,15.8378
691.510,184.609,190.183,-10.0000,-21.5709,-28.7667
701.368,171.458,193.473,-10.0000,-31.1779,-19.6677
708.112,171.038,193.942,-10.0000,-29.0091,-21.9146
713.931,170.303,193.941,-10.0000,-24.9818,-25.7642
731.347,167.362,194.210,-10.0000,-23.1452,-27.4062
